Row Labels,Average of population,Average of gdp_per_capita
 Burundi ,6685376.577,185.5427626
1970-1984,4036639.933,147.495136
1985-1999,5583936.133,190.4117401
2000-2015,8320766.938,177.2769508
>2015,11699778.33,290.53155
 China ,1180974836,2472.747297
1970-1984,939114271,212.7864762
1985-1999,1172197798,500.7514737
2000-2015,1327443002,3660.81956
>2015,1416987064,9884.446209
 Italy ,57361569.92,20572.67276
1970-1984,55389470.87,5247.104679
1985-1999,56802244.93,18617.49655
2000-2015,58841061,31985.41622
>2015,59744820.5,33340.55093
 Japan ,122527982.6,27207.91318
1970-1984,113996779.1,6659.109585
1985-1999,124221510.2,29894.50594
2000-2015,127663724.4,39231.73043
>2015,125926860.5,39799.9276
 Republic of Korea ,"44,293,594",12741.26403
1970-1984,36749037.67,1177.030808
1985-1999,44346608,7809.033939
2000-2015,48553438.5,20961.38212
>2015,51662863.5,32062.10739
Grand Total,282368671.7,12636.02801
